+---------------------+---------+---------+---------+---------+----------------+----------+---------------+
|                     |    Open |    High |     Low |   Close |   Daily_Change |   Target |   Predictions |
|---------------------+---------+---------+---------+---------+----------------+----------+---------------|
| 2025-05-20 00:00:00 | 5944.66 | 5953.06 | 5909.26 | 5940.46 |   -0.000706549 |        0 |             0 |
| 2025-05-19 00:00:00 | 5902.88 | 5968.61 | 5895.69 | 5963.6  |    0.0102865   |        0 |             0 |
| 2025-05-16 00:00:00 | 5929.09 | 5958.62 | 5907.36 | 5958.38 |    0.00494006  |        1 |             0 |
| 2025-05-15 00:00:00 | 5869.82 | 5924.21 | 5865.16 | 5916.93 |    0.00802586  |        1 |             1 |
| 2025-05-14 00:00:00 | 5896.74 | 5906.55 | 5872.11 | 5892.58 |   -0.000705501 |        1 |             1 |
| 2025-05-13 00:00:00 | 5854.15 | 5906.64 | 5845.02 | 5886.55 |    0.00553452  |        1 |             1 |
| 2025-05-12 00:00:00 | 5807.2  | 5845.37 | 5786.08 | 5844.19 |    0.00636964  |        1 |             0 |
| 2025-05-09 00:00:00 | 5679.65 | 5691.69 | 5644.15 | 5659.91 |   -0.00347552  |        1 |             1 |
| 2025-05-08 00:00:00 | 5663.6  | 5720.1  | 5635.38 | 5663.94 |    6.00049e-05 |        0 |             1 |
| 2025-05-07 00:00:00 | 5614.18 | 5654.73 | 5578.64 | 5631.28 |    0.00304579  |        1 |             1 |
| 2025-05-06 00:00:00 | 5605.87 | 5649.58 | 5586.04 | 5606.91 |    0.000185527 |        1 |             1 |
| 2025-05-05 00:00:00 | 5655.32 | 5683.38 | 5634.48 | 5650.38 |   -0.000873503 |        0 |             1 |
| 2025-05-02 00:00:00 | 5645.88 | 5700.7  | 5642.28 | 5686.67 |    0.00722474  |        0 |             0 |
| 2025-05-01 00:00:00 | 5625.14 | 5658.91 | 5597.35 | 5604.14 |   -0.00373324  |        1 |             1 |
| 2025-04-30 00:00:00 | 5499.44 | 5581.84 | 5433.24 | 5569.06 |    0.0126595   |        1 |             1 |
| 2025-04-29 00:00:00 | 5508.87 | 5571.95 | 5505.7  | 5560.83 |    0.00943205  |        1 |             1 |
| 2025-04-28 00:00:00 | 5529.22 | 5553.66 | 5468.64 | 5528.75 |   -8.50418e-05 |        1 |             1 |
| 2025-04-25 00:00:00 | 5489.73 | 5528.11 | 5455.86 | 5525.21 |    0.00646297  |        1 |             0 |
| 2025-04-24 00:00:00 | 5381.38 | 5489.4  | 5371.96 | 5484.77 |    0.0192126   |        1 |             0 |
| 2025-04-23 00:00:00 | 5395.92 | 5469.69 | 5356.17 | 5375.86 |   -0.00371763  |        1 |             1 |
| 2025-04-22 00:00:00 | 5207.67 | 5309.61 | 5207.67 | 5287.76 |    0.0153792   |        1 |             1 |
| 2025-04-21 00:00:00 | 5232.94 | 5232.94 | 5101.63 | 5158.2  |   -0.0142826   |        1 |             1 |
| 2025-04-17 00:00:00 | 5305.45 | 5328.31 | 5255.58 | 5282.7  |   -0.00428804  |        0 |             1 |
| 2025-04-16 00:00:00 | 5335.75 | 5367.24 | 5220.79 | 5275.7  |   -0.0112542   |        1 |             1 |
| 2025-04-15 00:00:00 | 5411.99 | 5450.41 | 5386.44 | 5396.63 |   -0.00283821  |        0 |             1 |
| 2025-04-14 00:00:00 | 5441.96 | 5459.46 | 5358.02 | 5405.97 |   -0.00661338  |        0 |             1 |
| 2025-04-11 00:00:00 | 5255.56 | 5381.46 | 5220.77 | 5363.36 |    0.0205116   |        1 |             0 |
| 2025-04-10 00:00:00 | 5353.15 | 5353.15 | 5115.27 | 5268.05 |   -0.0158972   |        1 |             1 |
| 2025-04-09 00:00:00 | 4965.28 | 5481.34 | 4948.43 | 5456.9  |    0.0990116   |        0 |             0 |
| 2025-04-08 00:00:00 | 5193.57 | 5267.47 | 4910.42 | 4982.77 |   -0.0405886   |        1 |             1 |
| 2025-04-07 00:00:00 | 4953.79 | 5246.57 | 4835.04 | 5062.25 |    0.0218943   |        0 |             1 |
| 2025-04-04 00:00:00 | 5292.14 | 5292.14 | 5069.9  | 5074.08 |   -0.0412045   |        0 |             1 |
| 2025-04-03 00:00:00 | 5492.74 | 5499.53 | 5390.83 | 5396.52 |   -0.0175177   |        0 |             1 |
| 2025-04-02 00:00:00 | 5580.76 | 5695.31 | 5571.48 | 5670.97 |    0.0161645   |        0 |             1 |
| 2025-04-01 00:00:00 | 5597.53 | 5650.57 | 5558.52 | 5633.07 |    0.00634924  |        1 |             1 |
| 2025-03-31 00:00:00 | 5527.91 | 5627.56 | 5488.73 | 5611.85 |    0.0151848   |        1 |             0 |
| 2025-03-28 00:00:00 | 5679.2  | 5685.89 | 5572.42 | 5580.94 |   -0.0173018   |        1 |             0 |
| 2025-03-27 00:00:00 | 5695.64 | 5732.28 | 5670.94 | 5693.31 |   -0.000409099 |        0 |             1 |
| 2025-03-26 00:00:00 | 5771.66 | 5783.62 | 5694.41 | 5712.2  |   -0.0103021   |        0 |             1 |
| 2025-03-25 00:00:00 | 5775.96 | 5786.95 | 5760.42 | 5776.65 |    0.000119451 |        0 |             1 |
| 2025-03-24 00:00:00 | 5718.08 | 5775.14 | 5718.08 | 5767.57 |    0.00865496  |        1 |             0 |
| 2025-03-21 00:00:00 | 5630.73 | 5670.84 | 5603.1  | 5667.56 |    0.00654091  |        1 |             1 |
| 2025-03-20 00:00:00 | 5646.92 | 5711.15 | 5632.33 | 5662.89 |    0.00282813  |        1 |             1 |
| 2025-03-19 00:00:00 | 5632.37 | 5715.33 | 5622.2  | 5675.29 |    0.00762022  |        0 |             1 |
| 2025-03-18 00:00:00 | 5654.53 | 5654.53 | 5597.76 | 5614.66 |   -0.00705092  |        1 |             1 |
| 2025-03-17 00:00:00 | 5635.6  | 5703.52 | 5631.12 | 5675.12 |    0.00701257  |        0 |             1 |
| 2025-03-14 00:00:00 | 5563.85 | 5645.27 | 5563.85 | 5638.94 |    0.013496    |        1 |             1 |
| 2025-03-13 00:00:00 | 5594.45 | 5597.78 | 5504.65 | 5521.52 |   -0.0130362   |        1 |             1 |
| 2025-03-12 00:00:00 | 5624.84 | 5642.19 | 5546.09 | 5599.3  |   -0.00454058  |        0 |             1 |
| 2025-03-11 00:00:00 | 5603.65 | 5636.3  | 5528.41 | 5572.07 |   -0.00563563  |        1 |             1 |
| 2025-03-10 00:00:00 | 5705.37 | 5705.37 | 5564.02 | 5614.56 |   -0.0159166   |        0 |             1 |
| 2025-03-07 00:00:00 | 5726.01 | 5783.01 | 5666.29 | 5770.2  |    0.00771749  |        0 |             1 |
