> from tabulate import tabulate
> print tabulate(sp500, headers='keys', tablefmt='psql', showindex=False)

(then grab it all and seperate by the find-all on the '\n' to seperate the rows)


+---------+---------+---------+---------+------------------+-------------+----------------+
|    Open |    High |     Low |   Close |           Volume |   Dividends |   Stock Splits |
|---------+---------+---------+---------+------------------+-------------+----------------|
|   17.66 |   17.66 |   17.66 |   17.66 |      0           |           0 |              0 |
|   17.76 |   17.76 |   17.76 |   17.76 |      0           |           0 |              0 |
|   17.72 |   17.72 |   17.72 |   17.72 |      0           |           0 |              0 |
|   17.55 |   17.55 |   17.55 |   17.55 |      0           |           0 |              0 |
|   17.66 |   17.66 |   17.66 |   17.66 |      0           |           0 |              0 |
|   17.5  |   17.5  |   17.5  |   17.5  |      0           |           0 |              0 |
|   17.37 |   17.37 |   17.37 |   17.37 |      0           |           0 |              0 |
|   17.35 |   17.35 |   17.35 |   17.35 |      0           |           0 |              0 |
|   17.47 |   17.47 |   17.47 |   17.47 |      0           |           0 |              0 |
|   17.58 |   17.58 |   17.58 |   17.58 |      0           |           0 |              0 |
|   17.29 |   17.29 |   17.29 |   17.29 |      0           |           0 |              0 |
|   17.3  |   17.3  |   17.3  |   17.3  |      0           |           0 |              0 |
|   17.26 |   17.26 |   17.26 |   17.26 |      0           |           0 |              0 |
|   17.38 |   17.38 |   17.38 |   17.38 |      0           |           0 |              0 |
|   17.48 |   17.48 |   17.48 |   17.48 |      0           |           0 |              0 |
|   17.64 |   17.64 |   17.64 |   17.64 |      0           |           0 |              0 |
|   17.71 |   17.71 |   17.71 |   17.71 |      0           |           0 |              0 |
|   17.52 |   17.52 |   17.52 |   17.52 |      0           |           0 |              0 |
|   17.63 |   17.63 |   17.63 |   17.63 |      0           |           0 |              0 |
|   17.69 |   17.69 |   17.69 |   17.69 |      0           |           0 |              0 |
|   17.49 |   17.49 |   17.49 |   17.49 |      0           |           0 |              0 |
|   17.57 |   17.57 |   17.57 |   17.57 |      0           |           0 |              0 |
|   17.53 |   17.53 |   17.53 |   17.53 |      0           |           0 |              0 |
|   17.63 |   17.63 |   17.63 |   17.63 |      0           |           0 |              0 |
|   17.4  |   17.4  |   17.4  |   17.4  |      0           |           0 |              0 |
|   17.45 |   17.45 |   17.45 |   17.45 |      0           |           0 |              0 |
|   17.44 |   17.44 |   17.44 |   17.44 |      0           |           0 |              0 |
|   17.49 |   17.49 |   17.49 |   17.49 |      0           |           0 |              0 |
|   17.55 |   17.55 |   17.55 |   17.55 |      0           |           0 |              0 |
|   17.54 |   17.54 |   17.54 |   17.54 |      0           |           0 |              0 |
|   17.44 |   17.44 |   17.44 |   17.44 |      0           |           0 |              0 |
|   17.4  |   17.4  |   17.4  |   17.4  |      0           |           0 |              0 |
|   17.35 |   17.35 |   17.35 |   17.35 |      0           |           0 |              0 |
|   17.04 |   17.04 |   17.04 |   17.04 |      0           |           0 |              0 |
|   16.95 |   16.95 |   16.95 |   16.95 |      0           |           0 |              0 |
|   17.11 |   17.11 |   17.11 |   17.11 |      0           |           0 |              0 |
|   17.13 |   17.13 |   17.13 |   17.13 |      0           |           0 |              0 |
|   17.18 |   17.18 |   17.18 |   17.18 |      0           |           0 |              0 |
|   17.11 |   17.11 |   17.11 |   17.11 |      0           |           0 |              0 |
|   17.16 |   17.16 |   17.16 |   17.16 |      0           |           0 |              0 |
|   17.26 |   17.26 |   17.26 |   17.26 |      0           |           0 |              0 |
|   17.3  |   17.3  |   17.3  |   17.3  |      0           |           0 |              0 |
|   17.3  |   17.3  |   17.3  |   17.3  |      0           |           0 |              0 |
|   17.57 |   17.57 |   17.57 |   17.57 |      0           |           0 |              0 |
