+------------+---------+---------+---------+---------+-------------+------------+----------+-------------+-------------+-------------+-------------+-----------------+-------------+-----------------+
| _Index_    |    Open |    High |     Low |   Close |      Volume |   Tomorrow |   Target |   VIX_Close |   SPY_Close |   VOO_Close |   IVV_Close |   Futures_Close |   Inflation |   Interest_Rate |
|------------+---------+---------+---------+---------+-------------+------------+----------+-------------+-------------+-------------+-------------+-----------------+-------------+-----------------|
| 2025-05-19 | 5902.88 | 5925.65 | 5895.69 | 5923.83 | 3.26841e+08 |     nan    |        0 |       18.91 |    591.03   |    543.285  |    593.86   |         5935.5  |     2.30542 |     1.66756     |
| 2025-05-16 | 5929.09 | 5958.62 | 5907.36 | 5958.38 | 4.85085e+09 |    5923.83 |        0 |       17.24 |    594.2    |    546.26   |    597.04   |         5975.5  |     2.30542 |     1.66756     |
| 2025-05-15 | 5869.82 | 5924.21 | 5865.16 | 5916.93 | 4.99129e+09 |    5958.38 |        1 |       17.83 |    590.46   |    542.76   |    593.18   |         5933.25 |     2.30542 |     1.66756     |
| 2025-05-14 | 5896.74 | 5906.55 | 5872.11 | 5892.58 | 5.23345e+09 |    5916.93 |        1 |       18.62 |    587.59   |    540.11   |    590.28   |         5908.5  |     2.30542 |     1.66756     |
| 2025-05-13 | 5854.15 | 5906.64 | 5845.02 | 5886.55 | 5.51629e+09 |    5892.58 |        1 |       18.22 |    586.84   |    539.44   |    589.94   |         5904.5  |     2.30542 |     1.66756     |
| 2025-05-12 | 5807.2  | 5845.37 | 5786.08 | 5844.19 | 6.01458e+09 |    5886.55 |        1 |       18.39 |    582.99   |    535.92   |    585.71   |         5865    |     2.30542 |     1.66756     |
| 2025-05-09 | 5679.65 | 5691.69 | 5644.15 | 5659.91 | 4.64509e+09 |    5844.19 |        1 |       21.9  |    564.34   |    518.65   |    566.89   |         5678    |     2.30542 |     1.66756     |
| 2025-05-08 | 5663.6  | 5720.1  | 5635.38 | 5663.94 | 5.6274e+09  |    5659.91 |        0 |       22.48 |    565.06   |    519.34   |    567.33   |         5684.5  |     2.30542 |     1.66756     |
| 2025-05-07 | 5614.18 | 5654.73 | 5578.64 | 5631.28 | 4.98744e+09 |    5663.94 |        1 |       23.55 |    561.15   |    515.9    |    563.77   |         5652    |     2.30542 |     1.66756     |
| 2025-05-06 | 5605.87 | 5649.58 | 5586.04 | 5606.91 | 4.71726e+09 |    5631.28 |        1 |       24.76 |    558.8    |    513.58   |    561.54   |         5625.75 |     2.30542 |     1.66756     |
| 2025-05-05 | 5655.32 | 5683.38 | 5634.48 | 5650.38 | 4.35826e+09 |    5606.91 |        0 |       23.64 |    563.51   |    517.99   |    566.17   |         5671.75 |     2.30542 |     1.66756     |
| 2025-05-02 | 5645.88 | 5700.7  | 5642.28 | 5686.67 | 4.85438e+09 |    5650.38 |        0 |       22.68 |    566.76   |    520.71   |    569.34   |         5709    |     2.30542 |     1.66756     |
| 2025-05-01 | 5625.14 | 5658.91 | 5597.35 | 5604.14 | 4.93527e+09 |    5686.67 |        1 |       24.6  |    558.47   |    513.35   |    561.11   |         5623.25 |     2.30542 |     1.66756     |
| 2025-04-30 | 5499.44 | 5581.84 | 5433.24 | 5569.06 | 5.44949e+09 |    5604.14 |        1 |       24.7  |    554.54   |    509.74   |    557.96   |         5587    |     2.30761 |     1.6677      |
| 2025-04-29 | 5508.87 | 5571.95 | 5505.7  | 5560.83 | 4.74715e+09 |    5569.06 |        1 |       24.17 |    554.32   |    509.49   |    556.95   |         5583.75 |     2.30979 |     1.66784     |
| 2025-04-28 | 5529.22 | 5553.66 | 5468.64 | 5528.75 | 4.25788e+09 |    5560.83 |        1 |       25.15 |    550.85   |    506.42   |    553.43   |         5553    |     2.31197 |     1.66798     |
| 2025-04-25 | 5489.73 | 5528.11 | 5455.86 | 5525.21 | 4.23658e+09 |    5528.75 |        1 |       24.84 |    550.64   |    506.11   |    553.19   |         5549.75 |     2.31416 |     1.66812     |
| 2025-04-24 | 5381.38 | 5489.4  | 5371.96 | 5484.77 | 4.69771e+09 |    5525.21 |        1 |       26.47 |    546.69   |    502.41   |    549.22   |         5511.25 |     2.31634 |     1.66826     |
| 2025-04-23 | 5395.92 | 5469.69 | 5356.17 | 5375.86 | 5.37139e+09 |    5484.77 |        1 |       28.45 |    535.42   |    492.07   |    537.85   |         5401.75 |     2.31852 |     1.6684      |
| 2025-04-22 | 5207.67 | 5309.61 | 5207.67 | 5287.76 | 4.66695e+09 |    5375.86 |        1 |       30.57 |    527.25   |    484.29   |    529.38   |         5314.75 |     2.32071 |     1.66854     |
| 2025-04-21 | 5232.94 | 5232.94 | 5101.63 | 5158.2  | 4.22634e+09 |    5287.76 |        1 |       33.82 |    513.88   |    472.37   |    516.38   |         5184.75 |     2.32289 |     1.66868     |
| 2025-04-17 | 5305.45 | 5328.31 | 5255.58 | 5282.7  | 4.71488e+09 |    5158.2  |        0 |       29.65 |    526.41   |    483.9    |    528.67   |         5312.75 |     2.32507 |     1.66881     |
| 2025-04-16 | 5335.75 | 5367.24 | 5220.79 | 5275.7  | 4.60775e+09 |    5282.7  |        1 |       32.64 |    525.66   |    483.23   |    528.14   |         5305.75 |     2.32726 |     1.66895     |
| 2025-04-15 | 5411.99 | 5450.41 | 5386.44 | 5396.63 | 4.31711e+09 |    5275.7  |        0 |       30.12 |    537.61   |    494.09   |    540.19   |         5428.25 |     2.32944 |     1.66909     |
